"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"Exchange rate is unavailable offline. Connect to the internet or set the rate manually.",,
"Excise Entry","Entrada do Exercício",
Exclude,,
Excluded,,
"Excluded count",,
"Excluded transactions stay out of your ledger and reconciliation math. Restore brings a row back to For Review.",,
"Existing Company","Empresa Existente",
Expand,Expandir,
"Expected Amount","Valor Esperado",
Expense,Despesa,
"Expense Account","Conta de Despesa",
Expenses,Despesas,
"Expenses Included In Valuation","Despesas Incluídas na Avaliação",
Expired,,
"Expiry Date","Data de Vencimento",
"Expiry Duration",,
Export,Exportar,
"Export (CSV)",,
"Export Failed","Exportação falhou",
"Export Format","Formato de exportação",
"Export Successful","Exportação bem sucedida",
"Export Wizard","Assistente de exportação",
"External id",,
"FBooks Integration Version",,
Failed,Falhou,
"Failed to finish reconcile.",,
"Failed to load batches",,
Fax,Fax,
Features,Funcionalidades,
February,Fevereiro,
"Feed disconnected for this account. Other accounts at this institution may keep syncing.",,
"Feed paused — reactivate to import again",,
"Feed reactivated. Imports will resume on the next sync.",,
"Feed version",,
"Feed window",,
"Fetch Data From ERPNext",,
"Fetch From ERPNext Queue",,
Field,Campo,
Fieldname,"Nome do Campo",
"Fieldname ${0} already exists for ${1}","O campo ${0} já existe para ${1}",
"Fieldname ${0} already used for Custom Field ${1}","O campo ${0} já está sendo usado como campo personalizado ${1}",
Fieldtype,"Tipo de Campo",
Fifteen,,
Fifty,,
"File ${0} does not exist.","Arquivo ${0} não existe.",
"File selection failed","Falha ao selecionar o arquivo",
"Fill date, payee, category, and a non-zero amount.",,
Filter,Filtro,
"Filter by Group",,
"Finish Reconcile",,
"Fiscal Year","Ano Fiscal",
"Fiscal Year End Date","Data de término do Ano Fiscal",
"Fiscal Year Start Date","Data de início do ano fiscal",
Five,,
"Fix Failed","Falha na Correção",
"Fixed Asset","Ativo Fixo",
"Fixed Assets","Ativos Fixos",
Float,Decimal,
Floor,,
"Following cells have errors: ${0}.","As células seguintes tem erros: ${0}",
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,Fonte,
"For Purchase","Para compra",
"For Review",,
"For Sales","Para venda",
"Forbidden Error","Erro proibido",
"Form Section","Seção de Formulário",
"Form Tab","Aba do Formulário",
"Form Type","Tipo de Formulário",
Forty,,
Four,,
Fourteen,,
Fr,Se,
Fraction,Fração,
"Fraction Units","Unidades de Fração",
"Free Item",,
"Free item ""${0}"" was not added due to zero quantity",,
"Free items out of stock: ${0}",,
"Freight and Forwarding Charges","Taxas de frete e de remessa",
Frequency,,
From,De,
"From Account","De Conta",
"From Account and To Account cannot be the same.",,
"From Date","A partir de Data",
"From Lead",,
"From Loc.","Desde a Localização",
"From Year","Desde o Ano",
"From date",,
"From your last reconcile (locked).",,
"Full Name","Nome completo",
"Furnitures and Fixtures","Móveis e equipamentos",
GST,,
"GSTIN No.","GSTIN No.",
GSTR1,GSTR1,
GSTR2,GSTR2,
"Gain/Loss on Asset Disposal","Ganho/Perda na Alienação de Bens",
General,Geral,
"General Ledger","Livro Financeiro",
"Get Started",Iniciar,
"Give feedback",,
Global,,
"Go back to the previous page","Ir para a página anterior",
